Pos,ID,Name,BV,SV,Team,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%
M,586,Chong,4.9,4.9,Luton,36,1.48,37,1.45,37,1.67,36,1.47,37,1.45,36,1.34,34,1.47,34,1.41,0.00
M,587,Slimane,4.7,4.7,Sheffield Utd,26,1.06,25,0.93,24,0.99,21,0.84,21,0.82,23,0.94,25,0.88,26,0.95,0.00
D,588,Young,4.4,4.4,Everton,77,2.32,72,2.51,67,2.17,65,2.39,63,2.05,60,1.99,63,2.31,61,1.40,0.00
M,589,Ângelo,5.0,5.0,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,590,Cunha,5.5,5.5,Wolves,73,3.77,70,3.09,70,3.10,68,2.49,69,3.65,68,3.46,67,2.84,66,2.76,0.00
M,591,Willian,5.3,5.3,Fulham,74,3.24,72,2.92,72,3.73,69,2.58,67,3.44,69,3.35,68,2.59,66,3.53,0.00
D,592,Larouci,4.4,4.4,Sheffield Utd,5,0.22,9,0.26,7,0.31,8,0.30,10,0.28,11,0.40,11,0.32,11,0.32,0.00
F,593,T.Bénie,5.2,5.2,Sheffield Utd,12,0.61,12,0.54,12,0.63,13,0.64,13,0.60,14,0.66,14,0.62,16,0.68,0.00
F,594,Amdouni,5.4,5.4,Burnley,39,2.13,40,1.71,40,2.22,38,2.54,39,2.00,38,1.88,39,2.17,37,1.88,0.00
D,595,Kerkez,4.5,4.5,Bournemouth,75,1.05,73,1.91,72,2.95,71,2.13,68,2.29,67,1.53,66,3.17,65,2.23,0.00
G,596,Trafford,4.5,4.5,Burnley,94,3.63,92,2.99,92,3.33,90,3.80,90,3.24,90,2.97,89,3.44,89,3.15,0.01
G,597,Onana,4.8,4.8,Man Utd,94,3.74,93,4.33,92,3.64,91,3.26,91,3.58,91,3.90,91,3.08,90,3.30,0.02
